part,model,loss,lo,hi
Part 1 occurrence — log-loss,M0_const,0.5989855986992386,0.5574688100907157,0.6375528035844045
Part 1 occurrence — log-loss,M1_spread,0.5636075071884581,0.5232104900911827,0.6011666991832413
Part 1 occurrence — log-loss,M2_imb,0.5976690713126579,0.5579464881759597,0.6353349931277531
Part 1 occurrence — log-loss,M3_additive,0.5648953263146622,0.5229614004461363,0.6007928324844877
Part 1 occurrence — log-loss,M4_full,0.5617533450397888,0.5191308584182223,0.5988721662315415
Part 1 occurrence — Brier,M0_const,0.20567804782287072,0.18788795382193013,0.22276655877845952
Part 1 occurrence — Brier,M1_spread,0.19012476390475191,0.1737829358829209,0.20478422710257627
Part 1 occurrence — Brier,M2_imb,0.2050365050533172,0.1875292055397138,0.22201752648367087
Part 1 occurrence — Brier,M3_additive,0.19049075104051305,0.1735417169608555,0.20644533873172377
Part 1 occurrence — Brier,M4_full,0.18956972183823304,0.17187353691652268,0.20601617787721757
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M0_const,-12.820295755833422,-13.065968295341479,-12.565475799737758
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M1_spread,-12.857133801461666,-13.127565964891826,-12.57253669922406
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M2_imb,-12.808946293479138,-13.052350413948044,-12.509564365681607
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M3_additive,-11.745328064450744,-12.89832963820367,-9.852589051714613
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M4_full,-12.772639013165026,-13.056471197458581,-12.418657249074318
Part 2 magnitude — winsorized MSE (nonzero),M0_const,2.0619171071499184e-11,7.78230761247295e-12,4.408506297758712e-11
Part 2 magnitude — winsorized MSE (nonzero),M1_spread,2.0364238426859742e-11,7.584831615806462e-12,4.5319006800813707e-11
Part 2 magnitude — winsorized MSE (nonzero),M2_imb,2.064072891186656e-11,7.991798037796985e-12,4.681238676578392e-11
Part 2 magnitude — winsorized MSE (nonzero),M3_additive,2.0400780685829023e-11,7.598421595596919e-12,4.784575043546799e-11
Part 2 magnitude — winsorized MSE (nonzero),M4_full,2.0480991021302e-11,7.683074492354845e-12,4.579213931734534e-11
Recombined p*m — MSE on all test obs,M0_const,1.5717873230383212e-11,4.491384908822734e-12,3.81095368079809e-11
Recombined p*m — MSE on all test obs,M1_spread,1.5542749570045004e-11,4.51999006570915e-12,3.627516942133082e-11
Recombined p*m — MSE on all test obs,M2_imb,1.573835845618577e-11,4.8449097029095424e-12,3.6319072323590656e-11
Recombined p*m — MSE on all test obs,M3_additive,1.5561108334603556e-11,4.669463514285581e-12,3.6591401253061246e-11
Recombined p*m — MSE on all test obs,M4_full,1.559847627637827e-11,4.699920665612799e-12,3.806303205281971e-11
