part,pair,d,lo,hi
Part 1 occurrence — log-loss,M0_const->M1_spread,0.035378091510780474,0.022734160852088237,0.048646641539609146
Part 1 occurrence — log-loss,M0_const->M2_imb,0.0013165273865806495,-0.0003871444261726667,0.0029271693460715363
Part 1 occurrence — log-loss,M1_spread->M4_full,0.0018541621486693426,-0.001081987030607639,0.004796829320234464
Part 1 occurrence — log-loss,M2_imb->M4_full,0.035915726272869174,0.022999723620714254,0.05102113043116729
Part 1 occurrence — log-loss,M1_spread->M3_additive,-0.0012878191262041413,-0.0039055997943615757,0.0012796987534869362
Part 1 occurrence — log-loss,M0_const->M4_full,0.03723225365944982,0.024131915680960767,0.05130047311920099
Part 1 occurrence — Brier,M0_const->M1_spread,0.015553283918118811,0.009615170352256276,0.02142932550971135
Part 1 occurrence — Brier,M0_const->M2_imb,0.0006415427695535357,-8.322501258784907e-05,0.0014085537856188132
Part 1 occurrence — Brier,M1_spread->M4_full,0.0005550420665188821,-0.00041311949091909356,0.0014962162401164992
Part 1 occurrence — Brier,M2_imb->M4_full,0.015466783215084158,0.010086447083212963,0.02109964254692038
Part 1 occurrence — Brier,M1_spread->M3_additive,-0.0003659871357611372,-0.0010806806992066816,0.00035517162958421277
Part 1 occurrence — Brier,M0_const->M4_full,0.016108325984637694,0.010811308589430012,0.022361948645080097
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M0_const->M1_spread,0.036838045628244664,0.02083079311725104,0.05446839341137077
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M0_const->M2_imb,-0.011349462354283708,-0.01952282722877023,-0.003566356590817472
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M1_spread->M4_full,-0.08449478829663944,-0.26711536298850713,-0.010436589072707966
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M2_imb->M4_full,-0.03630728031411107,-0.22281276354240592,0.0459386182238172
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M1_spread->M3_additive,-1.1118057370109224,-3.340721193355193,-0.03412935622099366
"Part 2 magnitude — QLIKE (nonzero, non-degenerate)",M0_const->M4_full,-0.047656742668394765,-0.21213525808920625,0.03477998275158873
Part 2 magnitude — winsorized MSE (nonzero),M0_const->M1_spread,2.5493264463944314e-13,3.6713557774874016e-14,7.019794871206966e-13
Part 2 magnitude — winsorized MSE (nonzero),M0_const->M2_imb,-2.1557840367376833e-14,-1.0439781490947821e-13,7.045566273382233e-14
Part 2 magnitude — winsorized MSE (nonzero),M1_spread->M4_full,-1.1675259444225754e-13,-2.756527645009324e-13,-2.5270622462761724e-14
Part 2 magnitude — winsorized MSE (nonzero),M2_imb->M4_full,1.5973789056456248e-13,3.14814966477944e-14,4.0456519370142153e-13
Part 2 magnitude — winsorized MSE (nonzero),M1_spread->M3_additive,-3.6542258969281786e-14,-1.0762707922391884e-13,2.219974453092242e-14
Part 2 magnitude — winsorized MSE (nonzero),M0_const->M4_full,1.3818005019718562e-13,-4.347400348921011e-14,4.447597326449587e-13
Recombined p*m — MSE on all test obs,M0_const->M1_spread,1.7512366033821023e-13,2.2899606353074755e-14,4.848084634227842e-13
Recombined p*m — MSE on all test obs,M0_const->M2_imb,-2.0485225802554512e-14,-7.461929311099261e-14,2.557547333638776e-14
Recombined p*m — MSE on all test obs,M1_spread->M4_full,-5.572670633326559e-14,-1.2962072246500494e-13,-5.94533943057806e-15
Recombined p*m — MSE on all test obs,M2_imb->M4_full,1.3988217980749918e-13,2.6109997237839252e-14,3.896058036333459e-13
Recombined p*m — MSE on all test obs,M1_spread->M3_additive,-1.8358764558551584e-14,-7.340544342948364e-14,2.626150807248086e-14
Recombined p*m — MSE on all test obs,M0_const->M4_full,1.1939695400494464e-13,-3.113495894265446e-14,4.014803952741675e-13
